Row Labels,Average of Generosity,Average of Healthy life expectancy,Average of Social support,Sum of Overall rank,,,,,,
Serbia,0.134,0.685,1.369,78,,,,,,
Sierra Leone,0.238,0,0.813,113,,,,,,
Singapore,0.261,1.008,1.451,34,,,,,,
Slovakia,0.118,0.776,1.537,39,,,,,,
Slovenia,0.16,0.856,1.506,51,,,,,,
Somalia,0.238,0.115,0.712,98,,,,,,
South Africa,0.103,0.33,1.41,105,,,,,,
South Korea,0.175,0.955,1.204,57,,,,,,
South Sudan,0.224,0.177,0.608,154,,,,,,
Spain,0.142,0.965,1.538,36,,,,,,
Sri Lanka,0.307,0.672,1.314,116,,,,,,
Sudan,0.134,0.312,1.24,137,,,,,,
Sweden,0.285,0.913,1.501,9,,,,,,
Switzerland,0.256,0.927,1.549,5,,,,,,
Syria,0.376,0.539,0.382,150,,,,,,
Taiwan,0.151,0.857,1.436,26,,,,,,
Tajikistan,0.187,0.598,1.166,88,,,,,,
Tanzania,0.27,0.381,0.991,153,,,,,,
Thailand,0.364,0.707,1.417,46,,,,,,
Togo,0.158,0.253,0.474,139,,,,,,
Trinidad & Tobago,0.171,0.564,1.492,38,,,,,,
Tunisia,0.04,0.69,0.906,111,,,,,,
Turkey,0.106,0.686,1.38,74,,,,,,
Turkmenistan,0.199,0.517,1.533,68,,,,,,
Uganda,0.259,0.237,1.09,135,,,,,,
Ukraine,0.187,0.609,1.413,138,,,,,,
United Arab Emirates,0.186,0.67,0.776,20,,,,,,
United Kingdom,0.262,0.888,1.433,11,,,,,,
United States,0.291,0.819,1.471,18,,,,,,
Uruguay,0.13,0.771,1.459,31,,,,,,
Uzbekistan,0.328,0.605,1.584,44,,,,,,
Venezuela,0.056,0.657,1.469,102,,,,,,
Vietnam,0.177,0.702,1.365,95,,,,,,
Yemen,0.083,0.343,1.073,152,,,,,,
Zambia,0.221,0.295,1.047,125,,,,,,
Zimbabwe,0.132,0.248,1.094,144,,,,,,
Grand Total,0.18100641,0.597346154,1.213237179,12246,,,,,,
Minimum,0,0,0,,,,,,,
Maximum,0.598,1.03,1.644,,,,,,,
Average,0.18100641,0.597346154,1.213237179,,,,,,,
Standard Deviation,0.076404421,0.20207002,0.237002301,,,,,,,
